Alabama ,AL,"321,238"
Alaska ,AK,"69,969"
Arizona ,AZ,"552,167"
Arkansas,AR,"188,723"
California ,CA,"4,103,124"
Colorado ,CO,"553,323"
Connecticut,CT,"365,723"
Delaware ,DE,"103,253"
District of Columbia ,DC,"186,165"
Florida ,FL,"1,705,565"
Georgia ,GA,"882,535"
Hawaii ,HI,"115,627"
Idaho ,ID,"128,132"
Illinois ,IL,"1,137,244"
Indiana,IN,"527,381"
Iowa ,IA,"257,021"
Kansas,KS,"234,673"
Kentucky,KY,"293,021"
Louisiana ,LA,"327,782"
Maine ,ME,"98,606"
Maryland ,MD,"542,766"
Massachusetts ,MA,"780,666"
Michigan ,MI,"706,616"
Minnesota ,MN,"500,851"
Mississippi ,MS,"157,491"
Missouri ,MO,"451,201"
Montana ,MT,"75,999"
Nebraska,NE,"185,411"
Nevada,NV,"260,728"
New Hampshire ,NH,"121,189"
New Jersey,NJ,"846,587"
New Mexico,NM,"140,542"
New York,NY,"2,297,028"
North Carolina ,NC,"839,122"
North Dakota ,ND,"75,399"
Ohio ,OH,"927,740"
Oklahoma,OK,"265,779"
Oregon ,OR,"331,029"
Pennsylvania ,PA,"1,024,206"
Rhode Island ,RI,"82,493"
South Carolina ,SC,"349,965"
South Dakota ,SD,"75,179"
Tennessee ,TN,"549,709"
Texas,TX,"2,709,393"
Utah ,UT,"300,904"
Vermont ,VT,"45,707"
Virginia ,VA,"764,475"
Washington,WA,"854,683"
West Virginia ,WV,"107,660"
Wisconsin ,WI,"451,285"
Wyoming ,WY,"52,946"